CustomerID,FirstName,LastName,Email,State
1,Alice,Smith,alice@example.com,wa
2,Bob,Johnson,bob@example.com,WA
2,Bob,Johnson,,wa
3,Charlie,Williams,charlie@example.com,Wa
4,Diana,Brown,diana@example.com,OR
5,Evan,Davis,evan@example.com,or
6,Fiona,Miller,,Or
7,George,Wilson,george@example.com,CA
8,Hannah,Moore,hannah@example.com,ca
9,Ian,Taylor,,cA
10,Jack,Anderson,jack@example.com,TX
10,Jack,Anderson,jack@example.com,tx
11,Karen,Thomas,,Tx
12,Leo,Jackson,leo@example.com,ny
13,Mia,White,mia@example.com,NY
14,Nina,Harris,nina@example.com,Ny
15,Oscar,Martin,,FL
16,Paul,Thompson,paul@example.com,fl
17,Quinn,Garcia,quinn@example.com,Fl
18,Rose,Martinez,,fL
